,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
213483,17140,"Cincinnati, OH-KY-IN",4,OH,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1061100,0,1000,1,,,28.23,58720,0.6,12.43,15.46,21.95,32.45,49.04,25850,32160,45660,67500,101990,,
213484,17300,"Clarksville, TN-KY",4,TN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,92660,0,1000,1,,,22.19,46160,0.4,10.71,13.67,18.21,25.14,36.47,22270,28440,37880,52290,75860,,
213485,17420,"Cleveland, TN",4,TN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,44930,0.1,1000,1,,,22.09,45940,0.9,10.63,13.59,17.5,24.2,36.84,22120,28270,36400,50330,76620,,
213486,17460,"Cleveland-Elyria, OH",4,OH,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,987600,0,1000,1,,,28.62,59530,0.4,12.45,15.7,22.5,35.07,49.38,25890,32660,46800,72940,102710,,
213487,17660,"Coeur d'Alene, ID",4,ID,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,68130,0,1000,1,,,24.2,50330,0.6,11.55,14.67,18.9,28.26,40.26,24020,30510,39320,58770,83730,,
213488,17780,"College Station-Bryan, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,123590,0,1000,1,,,25.63,53320,0.5,10.51,13.67,18.99,29.35,45.59,21860,28440,39500,61040,94830,,
213489,17820,"Colorado Springs, CO",4,CO,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,302690,0,1000,1,,,29.79,61950,0.5,14.1,16.52,22.73,35.97,52.72,29320,34350,47280,74820,109650,,
213490,17860,"Columbia, MO",4,MO,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,95420,0,1000,1,,,25.49,53030,1,11.65,14.15,19.39,29.59,43.22,24240,29430,40330,61550,89890,,
213491,17900,"Columbia, SC",4,SC,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,375300,0,1000,1,,,24.47,50890,0.3,10.79,14.07,18.85,28.97,41.01,22440,29270,39210,60260,85300,,
213492,17980,"Columbus, GA-AL",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,113500,0,1000,1,,,23.75,49410,0.5,10.17,13.06,17.8,28.49,43.72,21150,27160,37010,59270,90930,,
